hindi,trans
क,ka
ख,kha
ग,ga
घ,gha
ङ,Ga
च,ca
छ,cha
ज,ja
झ,jha
ञ,Ja
ट,Ta
ठ,Tha
ड,Da
ढ,Dha
ण,Na
त,ta
थ,tha
द,da
ध,dha
न,na
प,pa
फ,pha
ब,ba
भ,bha
म,ma
य,ya
र,ra
ल,la
व,va
श,za
ष,Sa
स,sa
ह,ha
क़,qa
ख़,qha
ज़,z2a
ड़,r3a
ढ़,r3ha
फ़,fa
अ,a
आ,A
इ,i
ई,I
उ,u
ऊ,U
ॠ,RR
ए,e
ऐ,ai
ओ,o
औ,au
अं,aM
अः,aH
अँ,a~
का,kA
कि,ki
की,kI
कु,ku
कू,kU
कृ,kR
के,ke
कै,kai
को,ko
कौ,kau
कं,kaM
कः,kaH
कँ,ka~
खा,khA
खि,khi
खी,khI
खु,khu
खू,khU
खृ,khR
खे,khe
खै,khai
खो,kho
खौ,khau
खं,khaM
खः,khaH
खँ,kha~
गा,gA
गि,gi
गी,gI
गु,gu
गू,gU
गृ,gR
गे,ge
गै,gai
गो,go
गौ,gau
गं,gaM
गः,gaH
गँ,ga~
घा,ghA
घि,ghi
घी,ghI
घु,ghu
घू,ghU
घृ,ghR
घे,ghe
घै,ghai
घो,gho
घौ,ghau
घं,ghaM
घः,ghaH
घँ,gha~
ङा,GA
ङि,Gi
ङी,GI
ङु,Gu
ङू,GU
ङृ,GR
ङे,Ge
ङै,Gai
ङो,Go
ङौ,Gau
ङं,GaM
ङः,GaH
ङँ,Ga~
चा,cA
चि,ci
ची,cI
चु,cu
चू,cU
चृ,cR
चे,ce
चै,cai
चो,co
चौ,cau
चं,caM
चः,caH
चँ,ca~
छा,chA
छि,chi
छी,chI
छु,chu
छू,chU
छृ,chR
छे,che
छै,chai
छो,cho
छौ,chau
छं,chaM
छः,chaH
छँ,cha~
जा,jA
जि,ji
जी,jI
जु,ju
जू,jU
जृ,jR
जे,je
जै,jai
जो,jo
जौ,jau
जं,jaM
जः,jaH
जँ,ja~
झा,jhA
झि,jhi
झी,jhI
झु,jhu
झू,jhU
झृ,jhR
झे,jhe
झै,jhai
झो,jho
झौ,jhau
झं,jhaM
झः,jhaH
झँ,jha~
ञा,JA
ञि,Ji
ञी,JI
ञु,Ju
ञू,JU
