"word","length","n_synsets","n_synonyms","n_consonants","n_vowels","n_hypernyms","n_hyponyms","n_consonantconjuncts","n_syllables","frequency","label","avg_simplicity_rank"
"परचम",0.5,0.333333333333333,0.005524861878453,1,0,0.875,0,0,1,0.174826114713887,1,3
"भविष्य",0.375,0.142857142857143,0.205479452054794,0.5,0.25,0.244897959183673,0.608695652173913,0.5,0.5,0.744857376397724,1,3
"उत्तरकाल",0.625,0,0.068493150684932,0.75,0.5,0.23469387755102,0,0.5,1,0.000306925862866,1,3
"अवर्त्तमान",0.875,0,0.068493150684932,1,0.75,0.23469387755102,0,1,1,0,1,3
"अवर्तमान",0.625,0,0.068493150684932,0.75,0.5,0.23469387755102,0,0.5,1,1.47578070146083E-05,1,3
"भविष्यकाल",0.75,0,0,1,0.5,0,0.608695652173913,0.5,1,0.000771884916577,1,3
"भविष्यत्",0.625,0,0,0.75,0.5,0,0.608695652173913,1,0.5,0.001095152958562,1,3
"इस्तक़बाल",0.75,0.142857142857143,0.136986301369863,0.75,0.75,0.183673469387755,0.608695652173913,0.5,0.5,0,1,3
"चिदानन्द",0.285714285714286,0,0.642857142857143,0.25,0.333333333333333,0.982456140350877,1,0.333333333333333,0.25,0.001361857414851,1,2.83333333333333
"अमृतगर्भ",0.285714285714286,0,0.642857142857143,0.25,0.333333333333333,0.982456140350877,1,0.333333333333333,0.5,0,1,2.66666666666667
"ब्रह्मोपनिषद्",1,0,0,1,1,0,0,1,1,5.32935408228523E-05,1,2.5
"ब्रह्मोपनिषद",0.857142857142857,0,0,1,0.666666666666667,0,0,0.666666666666667,1,0.000106587081646,1,2.5
"प्रसंग",0.4,0.5,1,0.5,0.5,0.041666666666667,0.545454545454545,0.5,0.5,0.071788215499892,1,2.5
"बाबत",0,0,0,0.25,0,0,0,0,0,0.019725855066709,1,2.66666666666667
"प्रकीर्ण",0.8,1,0.346153846153846,0.75,1,1,0.090909090909091,1,0.5,0.00375725929348,1,1.66666666666667
"प्रकीर्णक",1,0.5,0.211538461538462,1,1,0.375,0.090909090909091,1,1,0,1,2.33333333333333
"अम्र",0,0,0,0,0.5,0,0,0.5,0,0.000730912595328,1,3
"तुरंगशाला",0.857142857142857,0,0.150943396226415,0.75,1,0.014084507042254,0,0,0.75,0,1,2.5
"पेलिशाला",0.714285714285714,0,0.150943396226415,0.5,1,0.014084507042254,0,0,0.5,0,1,3
"तुरंगमशाला",1,0,0.150943396226415,1,1,0.014084507042254,0,0,1,0,1,2.5
"अश्वगोष्ठ",0.857142857142857,0,0.150943396226415,0.75,1,0.014084507042254,0,1,0.25,0,1,3
"मंदुरा",0.428571428571429,0.142857142857143,0.226415094339623,0.25,0.666666666666667,0.049295774647887,0.122448979591837,0,0.25,0.000571428571429,1,2.5
"मन्दुरा",0.571428571428571,0.142857142857143,0.226415094339623,0.5,0.666666666666667,0.049295774647887,0.122448979591837,0.5,0.25,0,1,3
"आखर",0,0.857142857142857,1,0,0,0.443661971830986,1,0,0,0.352772194613628,1,3
"मजीरा",0.285714285714286,0,0,0.25,0.333333333333333,0,0,0,0.25,0.016074450084602,1,2.66666666666667
"अर्य",0,0.5,1,0,0,1,1,0.5,0,0.000757397043458,1,3
"अर्य्य",0.4,0.5,1,0.25,1,1,1,1,0,0,1,2.4
"अर्ह्य",0.4,0.25,0.209302325581395,0.25,1,0,0,1,0,0,1,3
"अंबुधि",0.428571428571429,0,0.350282485875706,0,0.8,0,0.048507462686567,0,0.5,0.000115101289134,1,2.2
"अम्बुधि",0.571428571428571,0,0.350282485875706,0.2,0.8,0,0.048507462686567,0.5,0.5,0.000370881931655,1,2.2
"पयोधि",0.285714285714286,0,0.350282485875706,0.2,0.4,0,0.048507462686567,0,0.5,1.27890321260487E-05,1,2.4
"तोयनिधि",0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0.00012789032126,1,2.8
"पयोनिधि",0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0,1,2.6
"वारिधि",0.428571428571429,0,0.350282485875706,0.2,0.6,0,0.048507462686567,0,0.5,0.001509105790874,1,2.8
"तिमिकोश",0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.5,0,1,1.8
"वारिनिधि",0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0,0.75,0,1,3
"अपांनाथ",0.571428571428571,0,0.350282485875706,0.2,0.8,0,0.048507462686567,0,0.5,0,1,2.4
"अपांनिधि",0.714285714285714,0,0.350282485875706,0.2,1,0,0.048507462686567,0,0.75,0,1,2.4
"अपांपति",0.571428571428571,0.1,0.570621468926554,0.2,0.8,0.284615384615385,0.048507462686567,0,0.5,0,1,2.4
"वारींद्र",0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0.5,0.5,0.000242991610395,1,2.4
"वारीन्द्र",0.857142857142857,0,0.350282485875706,0.6,0.8,0,0.048507462686567,1,0.5,0.000191835481891,1,2.2
"वारिराशि",0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0,0.75,0,1,3
"पाथोधि",0.428571428571429,0,0.350282485875706,0.2,0.6,0,0.048507462686567,0,0.5,3.83670963781461E-05,1,2.8
