hindi,trans
का,kA
कि,ki
की,kI
कु,ku
कू,kU
कृ,kR
कॄ,kRR
कॢ,klR
कॣ,klRR
कॆ,kE
के,ke
कै,kai
कॊ,kO
को,ko
कौ,kau
कॅ,kaE
कॕ,kAE
कॉ,kaO
कं,kaM
कः,kaH
कँ,ka~
क्,k
&क्,&k
खा,khA
खि,khi
खी,khI
खु,khu
खू,khU
खृ,khR
खॄ,khRR
खॢ,khlR
खॣ,khlRR
खॆ,khE
खे,khe
खै,khai
खॊ,khO
खो,kho
खौ,khau
खॅ,khaE
खॕ,khAE
खॉ,khaO
खं,khaM
खः,khaH
खँ,kha~
ख्,kh
&ख्,&kh
गा,gA
गि,gi
गी,gI
गु,gu
गू,gU
गृ,gR
गॄ,gRR
गॢ,glR
गॣ,glRR
गॆ,gE
गे,ge
गै,gai
गॊ,gO
गो,go
गौ,gau
गॅ,gaE
गॕ,gAE
गॉ,gaO
गं,gaM
गः,gaH
गँ,ga~
ग्,g
&ग्,&g
घा,ghA
घि,ghi
घी,ghI
घु,ghu
घू,ghU
घृ,ghR
घॄ,ghRR
घॢ,ghlR
घॣ,ghlRR
घॆ,ghE
घे,ghe
घै,ghai
घॊ,ghO
घो,gho
घौ,ghau
घॅ,ghaE
घॕ,ghAE
घॉ,ghaO
घं,ghaM
घः,ghaH
घँ,gha~
घ्,gh
&घ्,&gh
ङा,GA
ङि,Gi
ङी,GI
ङु,Gu
ङू,GU
ङृ,GR
ङॄ,GRR
ङॢ,GlR
ङॣ,GlRR
ङॆ,GE
ङे,Ge
ङै,Gai
ङॊ,GO
ङो,Go
ङौ,Gau
ङॅ,GaE
ङॕ,GAE
ङॉ,GaO
ङं,GaM
ङः,GaH
ङँ,Ga~
ङ्,G
&ङ्,&G
चा,cA
चि,ci
ची,cI
चु,cu
चू,cU
चृ,cR
चॄ,cRR
चॢ,clR
चॣ,clRR
चॆ,cE
चे,ce
चै,cai
चॊ,cO
चो,co
चौ,cau
चॅ,caE
चॕ,cAE
चॉ,caO
चं,caM
चः,caH
चँ,ca~
च्,c
&च्,&c
छा,chA
छि,chi
छी,chI
छु,chu
छू,chU
छृ,chR
छॄ,chRR
छॢ,chlR
छॣ,chlRR
छॆ,chE
छे,che
छै,chai
छॊ,chO
छो,cho
छौ,chau
छॅ,chaE
छॕ,chAE
छॉ,chaO
छं,chaM
छः,chaH
छँ,cha~
छ्,ch
&छ्,&ch
जा,jA
जि,ji
जी,jI
जु,ju
जू,jU
जृ,jR
जॄ,jRR
जॢ,jlR
जॣ,jlRR
जॆ,jE
जे,je
जै,jai
जॊ,jO
जो,jo
जौ,jau
जॅ,jaE
जॕ,jAE
जॉ,jaO
जं,jaM
जः,jaH
जँ,ja~
ज्,j
&ज्,&j
झा,jhA
झि,jhi
झी,jhI
झु,jhu
झू,jhU
झृ,jhR
झॄ,jhRR
झॢ,jhlR
झॣ,jhlRR
झॆ,jhE
झे,jhe
झै,jhai
झॊ,jhO
झो,jho
झौ,jhau
झॅ,jhaE
झॕ,jhAE
झॉ,jhaO
झं,jhaM
झः,jhaH
झँ,jha~
झ्,jh
&झ्,&jh
ञा,JA
ञि,Ji
ञी,JI
ञु,Ju
ञू,JU
ञृ,JR
ञॄ,JRR
ञॢ,JlR
ञॣ,JlRR
ञॆ,JE
ञे,Je
ञै,Jai
ञॊ,JO
ञो,Jo
ञौ,Jau
ञॅ,JaE
ञॕ,JAE
ञॉ,JaO
ञं,JaM
ञः,JaH
ञँ,Ja~
ञ्,J
&ञ्,&J
टा,TA
टि,Ti
टी,TI
टु,Tu
टू,TU
टृ,TR
टॄ,TRR
टॢ,TlR
टॣ,TlRR
टॆ,TE
टे,Te
टै,Tai
टॊ,TO
टो,To
टौ,Tau
टॅ,TaE
टॕ,TAE
टॉ,TaO
टं,TaM
टः,TaH
टँ,Ta~
ट्,T
&ट्,&T
ठा,ThA
ठि,Thi
ठी,ThI
ठु,Thu
ठू,ThU
ठृ,ThR
ठॄ,ThRR
ठॢ,ThlR
ठॣ,ThlRR
ठॆ,ThE
ठे,The
ठै,Thai
ठॊ,ThO
ठो,Tho
ठौ,Thau
ठॅ,ThaE
ठॕ,ThAE
ठॉ,ThaO
ठं,ThaM
ठः,ThaH
ठँ,Tha~
ठ्,Th
&ठ्,&Th
डा,DA
डि,Di
डी,DI
डु,Du
डू,DU
डृ,DR
डॄ,DRR
डॢ,DlR
डॣ,DlRR
डॆ,DE
डे,De
डै,Dai
डॊ,DO
डो,Do
डौ,Dau
डॅ,DaE
डॕ,DAE
डॉ,DaO
डं,DaM
डः,DaH
डँ,Da~
ड्,D
&ड्,&D
ढा,DhA
ढि,Dhi
ढी,DhI
ढु,Dhu
ढू,DhU
ढृ,DhR
ढॄ,DhRR
ढॢ,DhlR
ढॣ,DhlRR
ढॆ,DhE
ढे,Dhe
ढै,Dhai
ढॊ,DhO
ढो,Dho
ढौ,Dhau
ढॅ,DhaE
ढॕ,DhAE
ढॉ,DhaO
ढं,DhaM
ढः,DhaH
ढँ,Dha~
ढ्,Dh
&ढ्,&Dh
णा,NA
णि,Ni
णी,NI
णु,Nu
णू,NU
णृ,NR
णॄ,NRR
णॢ,NlR
णॣ,NlRR
णॆ,NE
णे,Ne
णै,Nai
णॊ,NO
णो,No
णौ,Nau
णॅ,NaE
णॕ,NAE
णॉ,NaO
णं,NaM
णः,NaH
णँ,Na~
ण्,N
&ण्,&N
